feature,importance
early_score_variance,0.24030171650392684
Score_Month_3,0.1757359557911921
Score_Month_2,0.13299943966513908
early_avg_score,0.10050509067154108
weighted_early_score,0.07196389864447722
early_avg_time,0.04958815909148027
early_time_score_ratio,0.04932510746970557
late_submission_rate,0.04406600431866026
TimeSpent_Month_3,0.03874174068610651
TimeSpent_Month_2,0.03679119081113265
early_engagement,0.03396351441695716
early_time_variance,0.010760753281821427
totalTimeSpentMinutes,0.008311168771272555
early_trend,0.003803946346263768
TimeSpent_Month_1,0.0018395432014189997
Score_Month_1,0.0008332176363871724
gradeLevel,0.000469552692517414
